time="2024-03-15T01:58:15Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:18Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:18Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:18Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:18Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:18Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:18Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:18Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:18Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:18Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:18Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:20Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:20Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:20Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:20Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:23Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:23Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:23Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:23Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:23Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:23Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:23Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:23Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:23Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:23Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:25Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:25Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:25Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:25Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:28Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:28Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:28Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:28Z" level=info msg="Processing completed" resource=argocd/basic-app-set
